117;1013914;Bradesco - Banco Brasileiro de Descontos, Rua Quinze de Novembro, 233;26;Centro
118;1013915;Banco Safra S.A.., Rua Quinze de Novembro, 212;26;Centro
119;1014000;Rua Boa Vista, lado par;26;Centro
120;1014010;Rua Joao Bricola;26;Centro
121;1014020;Rua Tres de Dezembro;26;Centro
122;1014030;Viaduto Boa Vista;26;Centro
123;1014900;Banco do Estado de Sao Paulo, Rua Joao Bricola, 24;26;Centro
124;1014901;Edificio Gabriel Goncalves, Rua Boa Vista, 84;26;Centro
125;1014902;Banco Bandeirantes S.A., Rua Boa Vista, 162;26;Centro
126;1014903;Edificio Banco Meridional, Rua Boa Vista, 200;26;Centro
127;1014905;Edificio Bamerindus do Brasil, Rua Boa Vista, 234;26;Centro
128;1014906;Edificio Rio, Rua Boa Vista, 230;26;Centro
129;1014907;Edificio Clemente Faria, Rua Boa Vista, 254;26;Centro
130;1014908;Joquei Club, Rua Boa Vista, 280;26;Centro
131;1014909;Edificio Paulista, Rua Boa Vista, 314;26;Centro
132;1014910;Banco do Estado de Minas Gerais, Rua Boa Vista, 356;26;Centro
133;1014911;Associacao Comercial de Sao Paulo, Rua Boa Vista, 51;26;Centro
134;1014912;Edificio Boa Vista, Rua Boa Vista, 75;26;Centro
135;1014913;Edificio Itau, Rua Boa Vista, 185;26;Centro
136;1014914;Banco do Estado de Sao Paulo, Rua Boa Vista, 209;26;Centro
137;1014915;Edificio Cabesp, Rua Boa Vista, 293;26;Centro
138;1014916;Edificio Novo Mundo, Rua Joao Bricola, 37;26;Centro
139;1014917;Edificio Banco Interestadual, Rua Joao Bricola, 67;26;Centro
140;1014919;Banco Itau S.A., Rua Boa Vista, 176;26;Centro
141;1014920;Metro - Companhia do Metropolitano de Sao Paulo, Rua Boa Vista, 175;26;Centro
142;1014925;Unibanco S.A., Rua Boa Vista, 162;26;Centro
143;1014930;Edificio Cidade, Rua Boa Vista, 170;26;Centro
144;1014940;Centro de Tratamento de Devolucoes, Rua Boa Vista, 84;26;Centro
145;1014970;AGF Boa Vista, Rua Boa Vista, 88 Loja 2 Terreo;26;Centro
146;1015000;Rua General Carneiro;26;Centro
147;1015010;Praca Padre Manuel da Nobrega;26;Centro
148;1015020;Praca Fernando Costa;26;Centro
149;1015030;Rua Sao Nicolau;26;Centro
150;1015040;Rua Maria Benedita;26;Centro
151;1015050;Rua Luis Teixeira;26;Centro
152;1015060;Rua Hercules Florence;26;Centro
153;1015080;Rua Fernao Sales;26;Centro
154;1015090;Viaduto Diario Popular;26;Centro
155;1015100;Avenida Exterior;26;Centro
156;1015900;Edificio Antonio da Nobrega, Praca Padre Manuel da Nobrega, 16;26;Centro
157;1016000;Rua Venceslau Bras;26;Centro
158;1016010;Rua Irma Simpliciana;26;Centro
159;1016020;Rua Santa Teresa;26;Centro
160;1016030;Rua Anchieta;26;Se
161;1016040;Largo Patio do Colegio;26;Se
162;1016050;Rua Floriano Peixoto;26;Se
163;1017000;Avenida Rangel Pestana, ate 499/500;26;Bras
164;1017010;Rua Doutor Bettencourt Rodrigues;26;Se
165;1017030;Viaduto Mercurio;26;Se
166;1017040;Viaduto Vinte e Cinco de Marco;26;Se
167;1017902;Edificio da Se, Rua Roberto Simonsen, 62;26;Se
168;1017903;Primeiro Cartorio de Registros de Titulos e Documentos, Rua Roberto Simonsen, 106;26;Se
169;1017904;Palacio Clovis Bevilaqua, Avenida Rangel Pestana, 203;26;Se
170;1017905;Edificio Rangel Pestana, Avenida Rangel Pestana, 243;26;Se
171;1017906;Tribunal de Contas, Avenida Rangel Pestana, 315;26;Se
172;1017907;Edificio Sao Roque, Rua Doutor Bettencourt Rodrigues, 88;26;Se
173;1017908;Edificio Santa Marta, Rua Doutor Bettencourt Rodrigues, 112;26;Se
174;1017909;Palacio Luso Junior, Rua Doutor Bettencourt Rodrigues, 155;26;Se
175;1017910;Edificio Sao Pedro, Rua Doutor Bettencourt Rodrigues, 196;26;Se
176;1017911;Secretaria da Fazenda, Avenida Rangel Pestana, 300;26;Se
177;1017970;AC Secretaria da Fazenda, Avenida Rangel Pestana, 300 Terreo .;26;Se
178;1018000;Praca Clovis Bevilaqua, lado par;26;Se
179;1018001;Praca Clovis Bevilaqua, lado impar;26;Se
180;1018010;Rua Onze de Agosto;26;Se
181;1018020;Rua Anita Garibaldi;26;Se
182;1019000;Rua Silveira Martins;26;Se
183;1019010;Rua das Flores;26;Se
184;1019020;Rua do Carmo;26;Se
185;1019030;Rua Joaquim dos Santos Andrade;26;Se
186;1019040;Rua Alcides Bezerra;26;Se
187;1019900;Sindicato dos Metalurgicos, Rua do Carmo, 171;26;Se
188;1019970;AC Praca do Carmo, Rua do Carmo, s/n Ala Verde - Poupa tempo Se;26;Se
189;1020000;Rua Tabatinguera, lado par;26;Se
190;1020001;Rua Tabatinguera, lado impar;26;Se
191;1020010;Rua das Carmelitas;26;Se
192;1020020;Rua Nioac;26;Se
193;1020030;Rua Frederico Alvarenga;26;Se
194;1020040;Rua Lousada;26;Se
195;1020050;Rua Alexandria;26;Se
196;1020900;Palacio Torre do Sol, Rua Tabatinguera, 93;26;Se
197;1020901;Edificio Roger Zmekhol, Rua Tabatinguera, 140;26;Se
198;1020902;Edificio Sao Paulo., Rua Tabatinguera, 167;26;Se
199;1020903;Centro Trasmontano de Sao Paulo, Rua Tabatinguera, 294;26;Se
200;1020904;Edificio Jamaram, Rua Tabatinguera, 340;26;Se
201;1021000;Rua Vinte e Cinco de Marco, ate 549/550;26;Centro
